Store_ID,Zipcode,Latitude,Longitude,County,City,State,Type
1,30014,33.610894,-83.830151,Newton,Covington,GA,Walmart Supercenter
2,30265,33.39347,-84.74359,Coweta,Newnan,GA,Walmart Supercenter
3,30114,34.2555,-84.46136,Cherokee,Canton,GA,Walmart Supercenter
4,30680,33.98999,-83.75668,Barrow,Winder,GA,Walmart Supercenter
5,30046,33.9715,-83.9966,Gwinnett,Lawrenceville,GA,Walmart Supercenter
6,30188,34.08418,-84.48115,Cherokee,Woodstock,GA,Walmart Supercenter
7,30214,33.48123,-84.44322,Fayette,Fayetteville,GA,Walmart Supercenter
8,30121,34.20298,-84.78747,Bartow,Cartersville,GA,Walmart Supercenter
9,30141,33.8908,-84.75895,Paulding,Hiram,GA,Walmart Supercenter
10,30281,33.55323,-84.25535,Henry,Stockbridge,GA,Walmart Supercenter
116,80030,39.82652,-105.0235,Adams,Westminster,CO,Walmart Neighborhood Market
117,80010,39.73926,-104.8675,Arapahoe,Aurora,CO,Walmart Neighborhood Market
118,30344,33.67836,-84.41652,Fulton,Atlanta,GA,Walmart
